Date,Tata Steel,SBI,ITC,Wipro,ICICI
Jun-20,302,164,201,215.5,339
Jul-20,329,179.449997,194.649994,221,354.25
Aug-20,364.75,192,194,283,346.799988
Sep-20,413.899994,213.100006,191.100006,271,394.700012
Oct-20,364.299988,187,174.5,316.399994,358.25
Nov-20,410,192.199997,166.800003,341.75,417
Dec-20,592,245,195,352.700012,479.700012
Jan-21,645,274.899994,209.899994,385.049988,535.549988
Feb-21,604.900024,285.100006,204,416.100006,552
Mar-21,724,395.100006,205.449997,411,607.549988
Apr-21,821,367.700012,220,418.850006,587.549988
May-21,1031.949951,349.600006,201.199997,487.950012,592.549988
Jun-21,1120,426.049988,218,541.900024,664.549988
Jul-21,1171.900024,420.299988,202.899994,545,633.950012
Aug-21,1446,434.75,206.449997,588.200012,684.049988
Sep-21,1451.25,427.5,211,643.799988,727.599976
Oct-21,1275,448.5,235.199997,634.799988,693
Nov-21,1340,508.5,224.149994,651.099976,807.700012
Dec-21,1092,464.450012,222,642.599976,716.400024
Jan-22,1115,462,218.050003,718,743.049988
Feb-22,1104.900024,543.950012,221,579.900024,802.049988
Mar-22,1220.75,483.200012,215.850006,555.799988,742.700012
Apr-22,1310,491,250,591.700012,725
May-22,1257,492.649994,258,515.5,732
Jun-22,1065.5,468,270.649994,478.950012,748
