Date,Price,Open,High,Low,Vol.,Change %
Jun-20,"9,135.40","9,454.50","10,301.80","8,865.30",15.35M,-3.38%
Jul-20,"11,333.40","10,961.10","11,434.80","10,771.80",13.21M,24.06%
Aug-20,"11,644.20","11,333.20","12,444.10","10,730.70",15.39M,2.74%
Sep-20,"10,776.10","11,644.20","12,045.90","9,877.10",83.88M,-7.46%
Oct-20,"13,797.30","10,776.60","14,065.40","10,387.60",2.41M,28.04%
Nov-20,"19,698.10","18,394.60","19,831.20","16,235.20",4.05M,42.77%
Dec-20,"28,949.40","19,697.80","29,298.80","17,600.10",3.85M,46.97%
Jan-21,"33,108.10","28,951.70","41,921.70","28,204.50",5.50M,14.37%
Feb-21,"45,164.00","33,106.80","58,335.10","32,324.90",4.01M,36.41%
Mar-21,"58,763.70","45,160.50","61,795.80","45,008.80",3.01M,30.11%
Apr-21,"57,720.30","58,763.20","64,778.00","47,098.50",2.97M,-1.78%
May-21,"37,298.60","57,719.10","59,523.90","30,261.70",5.33M,-35.38%
Jun-21,"35,026.90","37,294.30","41,318.00","28,901.80",4.14M,-6.09%
Jul-21,"41,553.70","35,030.70","42,285.30","29,310.20",2.44M,18.63%
Aug-21,"47,130.40","41,510.00","50,498.80","37,365.40",2.14M,13.42%
Sep-21,"43,823.30","47,129.20","52,885.30","39,646.80",2.21M,-7.02%
Oct-21,"61,309.60","43,824.40","66,967.10","43,292.90",2.18M,39.90%
Nov-21,"56,882.90","61,310.10","68,990.60","53,448.30",1.85M,-7.22%
Dec-21,"46,219.50","56,891.70","59,064.30","42,587.80",1.90M,-18.75%
Jan-22,"38,498.60","46,217.50","47,944.90","32,985.60",2.03M,-16.70%
Feb-22,"43,188.20","38,475.60","45,755.20","34,357.40",1.82M,12.18%
Mar-22,"45,525.00","43,187.20","48,199.00","37,182.10",43.70B,5.41%
Apr-22,"37,650.00","45,529.00","47,435.00","37,596.00",12.14B,-17.30%
May-22,"31,793.40","37,642.00","40,021.00","26,500.50",4.67B,-15.56%
Jun-22,"20,877.20","31,793.10","31,969.90","17,630.50",3.49M,-34.33%
